province,year,month,month_name,parameter,value
ACEH,2010,1,JAN,PRECTOTCORR,6.56
ACEH,2010,2,FEB,PRECTOTCORR,3.13
ACEH,2010,3,MAR,PRECTOTCORR,3.57
ACEH,2010,4,APR,PRECTOTCORR,5.28
ACEH,2010,5,MAY,PRECTOTCORR,2.84
ACEH,2010,6,JUN,PRECTOTCORR,7.65
ACEH,2010,7,JUL,PRECTOTCORR,3.42
ACEH,2010,8,AUG,PRECTOTCORR,2.23
ACEH,2010,9,SEP,PRECTOTCORR,3.84
ACEH,2010,10,OCT,PRECTOTCORR,3.97
ACEH,2010,11,NOV,PRECTOTCORR,10.29
ACEH,2010,12,DEC,PRECTOTCORR,8.25
ACEH,2011,1,JAN,PRECTOTCORR,6.03
ACEH,2011,2,FEB,PRECTOTCORR,3.15
ACEH,2011,3,MAR,PRECTOTCORR,10.25
ACEH,2011,4,APR,PRECTOTCORR,4.79
ACEH,2011,5,MAY,PRECTOTCORR,2.25
ACEH,2011,6,JUN,PRECTOTCORR,1.02
ACEH,2011,7,JUL,PRECTOTCORR,1.77
ACEH,2011,8,AUG,PRECTOTCORR,3.91
ACEH,2011,9,SEP,PRECTOTCORR,3.77
ACEH,2011,10,OCT,PRECTOTCORR,5.46
ACEH,2011,11,NOV,PRECTOTCORR,6.84
ACEH,2011,12,DEC,PRECTOTCORR,7.89
ACEH,2012,1,JAN,PRECTOTCORR,5.58
ACEH,2012,2,FEB,PRECTOTCORR,3.92
ACEH,2012,3,MAR,PRECTOTCORR,3.39
ACEH,2012,4,APR,PRECTOTCORR,2.88
ACEH,2012,5,MAY,PRECTOTCORR,3.97
ACEH,2012,6,JUN,PRECTOTCORR,1.55
ACEH,2012,7,JUL,PRECTOTCORR,2.04
ACEH,2012,8,AUG,PRECTOTCORR,1.96
ACEH,2012,9,SEP,PRECTOTCORR,3.42
ACEH,2012,10,OCT,PRECTOTCORR,5.45
ACEH,2012,11,NOV,PRECTOTCORR,7.77
ACEH,2012,12,DEC,PRECTOTCORR,6.97
ACEH,2013,1,JAN,PRECTOTCORR,8.91
ACEH,2013,2,FEB,PRECTOTCORR,6.43
ACEH,2013,3,MAR,PRECTOTCORR,3.33
ACEH,2013,4,APR,PRECTOTCORR,3.99
ACEH,2013,5,MAY,PRECTOTCORR,4.69
ACEH,2013,6,JUN,PRECTOTCORR,5.78
ACEH,2013,7,JUL,PRECTOTCORR,2.07
ACEH,2013,8,AUG,PRECTOTCORR,2.51
ACEH,2013,9,SEP,PRECTOTCORR,5.39
ACEH,2013,10,OCT,PRECTOTCORR,2.47
ACEH,2013,11,NOV,PRECTOTCORR,4.39
ACEH,2013,12,DEC,PRECTOTCORR,10.59
ACEH,2014,1,JAN,PRECTOTCORR,4.12
ACEH,2014,2,FEB,PRECTOTCORR,2.52
ACEH,2014,3,MAR,PRECTOTCORR,2.57
ACEH,2014,4,APR,PRECTOTCORR,2.89
ACEH,2014,5,MAY,PRECTOTCORR,2.9
ACEH,2014,6,JUN,PRECTOTCORR,2.42
ACEH,2014,7,JUL,PRECTOTCORR,1.61
ACEH,2014,8,AUG,PRECTOTCORR,5.75
ACEH,2014,9,SEP,PRECTOTCORR,4.88
ACEH,2014,10,OCT,PRECTOTCORR,11.46
ACEH,2014,11,NOV,PRECTOTCORR,12.05
ACEH,2014,12,DEC,PRECTOTCORR,17.47
ACEH,2015,1,JAN,PRECTOTCORR,3.9
ACEH,2015,2,FEB,PRECTOTCORR,2.06
ACEH,2015,3,MAR,PRECTOTCORR,3.47
ACEH,2015,4,APR,PRECTOTCORR,9.96
ACEH,2015,5,MAY,PRECTOTCORR,2.24
