-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2024 in LST
Location: Latitude  -6.97   Longitude 110.42 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 137.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2010,12.87,11.21,12.25,7.59,8.41,8.08,4.93,4.27,7.16,7.49,6.61,11.49,8.52
PRECTOTCORR,2011,12.12,7.35,4.7,7.65,4.1,2.42,1.3,0.0,2.13,2.02,11.98,6.68,5.18
PRECTOTCORR,2012,14.0,10.45,9.47,4.37,4.69,1.7,0.08,0.01,0.61,4.79,7.11,8.6,5.49
PRECTOTCORR,2013,15.15,12.77,5.46,9.05,5.56,8.47,3.83,2.06,2.39,2.14,5.74,8.45,6.71
PRECTOTCORR,2014,27.34,10.64,6.16,3.02,4.38,2.84,4.83,1.44,0.05,0.81,5.99,9.2,6.39
PRECTOTCORR,2015,8.54,9.51,6.73,9.78,4.18,2.05,0.15,0.41,0.01,0.02,4.67,8.17,4.48
PRECTOTCORR,2016,7.66,12.76,2.98,7.73,3.83,3.68,4.76,3.94,12.25,5.58,7.86,5.86,6.53
PRECTOTCORR,2017,9.34,14.36,6.28,8.29,4.05,3.58,0.77,0.1,2.5,9.34,8.42,7.23,6.13
PRECTOTCORR,2018,9.19,24.68,7.5,4.88,0.7,2.2,0.02,0.06,0.27,2.5,5.29,9.4,5.43
PRECTOTCORR,2019,12.55,10.37,7.14,7.97,3.51,0.03,0.08,0.14,1.39,0.29,1.8,11.1,4.67
PRECTOTCORR,2020,11.36,12.69,7.31,6.32,7.22,1.99,3.57,2.12,4.23,4.89,6.63,14.33,6.88
PRECTOTCORR,2021,10.77,25.78,6.3,6.12,3.96,5.46,0.33,3.26,6.32,5.11,11.21,9.17,7.67
PRECTOTCORR,2022,6.61,11.01,7.33,6.48,4.84,8.12,3.85,1.86,3.66,8.14,5.81,13.14,6.71
PRECTOTCORR,2023,8.77,12.8,6.0,4.51,2.95,3.41,3.24,0.51,0.29,0.76,7.78,9.52,4.99
PRECTOTCORR,2024,9.79,9.52,14.93,9.14,1.25,5.91,1.05,1.08,6.77,4.36,9.35,9.3,6.85
RH2M,2010,86.1,85.49,84.52,84.47,87.51,87.12,85.44,82.98,83.23,83.71,83.37,86.62,85.05
RH2M,2011,88.66,86.98,84.59,84.23,84.73,81.77,78.45,66.78,61.93,64.02,81.33,82.73,78.8
RH2M,2012,86.48,85.43,84.98,83.77,83.55,82.11,71.55,58.96,55.16,69.21,78.81,84.19,76.99
RH2M,2013,88.94,86.28,84.9,84.67,85.52,86.09,85.62,79.05,71.58,67.15,75.68,82.37,81.47
RH2M,2014,87.77,87.36,85.05,83.39,85.09,83.71,82.05,74.17,60.84,56.44,73.32,83.75,78.54
RH2M,2015,85.72,87.3,84.69,84.78,84.15,81.57,72.44,61.55,52.95,51.94,71.65,81.78,74.97
RH2M,2016,82.2,86.28,84.16,85.29,85.08,84.3,83.94,79.86,81.25,83.54,84.45,84.41,83.72
RH2M,2017,86.2,87.75,83.64,84.3,85.02,84.44,79.63,68.14,60.19,77.81,81.36,83.23,80.11
RH2M,2018,85.65,87.78,83.8,84.72,81.68,77.22,68.77,56.91,55.02,62.13,74.89,82.66,75.02
RH2M,2019,85.68,85.72,83.6,84.58,83.09,76.04,65.97,56.41,55.26,56.2,60.83,79.38,72.66
RH2M,2020,84.93,86.7,85.86,85.35,86.06,84.19,80.8,74.39,70.76,75.11,80.8,85.35,81.68
RH2M,2021,87.52,90.09,84.82,84.38,85.12,85.34,79.87,76.28,75.49,75.46,83.53,83.19,82.53
RH2M,2022,85.62,86.85,85.49,83.82,85.76,86.03,84.78,80.54,76.89,81.32,83.36,83.33,83.64
RH2M,2023,85.15,87.05,84.24,84.27,83.22,82.39,79.03,68.36,55.78,54.99,73.85,80.09,76.48
RH2M,2024,84.93,86.12,86.34,86.34,83.49,83.64,76.69,67.72,71.2,71.73,80.61,86.01,80.37
T2M,2010,26.03,26.69,26.93,27.08,26.75,26.05,25.88,26.1,26.45,26.24,26.53,25.74,26.37
